,Municipality,Total,BE,CDS-PP,PAN,PCP-PEV,PPD/PSD,PS,Others,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People_x,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Total_Number_People_y,Without_Education,Basic_First_Cycle,Basic_Second_Cycle,Basic_Third_Cycle,Secondary,Superior,Fraction_Without_Education,Fraction_Basic_First_Cycle,Fraction_Basic_Second_Cycle,Fraction_Basic_Third_Cycle,Fraction_Secondary,Fraction_Superior,Total_Average_income,Unemployment_%Rate,Unemployment_Rate,Coordinates,x,y
42,Chaves,22487,570,1906,135.0,721.0,12767.0,5903.0,485.0,PPD/PSD,0.5677502557032953,41281,4929,26357,9995,0.11940117729706161,0.6384777500545045,0.2421210726484339,36213,4900,11561.0,3950.0,5899.0,5545.0,4358.0,0.13531052384502804,0.31924999309640184,0.10907685085466545,0.1628973020738409,0.15312180708585316,0.12034352304421064,703.7,9.7,0.09699999999999999,"(41.7410586, -7.470604599999999)",41.7410586,-7.470604600000001
43,Montalegre,6655,97,363,13.0,85.0,3432.0,2528.0,137.0,PPD/PSD,0.515702479338843,10483,1001,6041,3442,0.09548793284365163,0.576266335972527,0.3283411237241248,9534,2193,3565.0,1069.0,1132.0,990.0,585.0,0.2300188797986155,0.3739249003566184,0.11212502622194252,0.11873295573736102,0.10383889238514789,0.06135934550031466,654.0,6.2,0.062,"(41.825411, -7.7886089)",41.825410999999995,-7.788608900000001
44,Ribeira de Pena,3773,55,341,11.0,80.0,1968.0,1226.0,92.0,PPD/PSD,0.5216008481314603,6541,862,3991,1688,0.13178413086683993,0.6101513530041278,0.25806451612903225,5725,1468,1805.0,815.0,831.0,522.0,284.0,0.25641921397379913,0.31528384279475985,0.1423580786026201,0.1451528384279476,0.09117903930131005,0.04960698689956332,681.7,10.3,0.10300000000000001,"(41.5199011, -7.793851)",41.5199011,-7.793850999999999
45,Valpaços,9645,130,910,29.0,138.0,6308.0,1965.0,165.0,PPD/PSD,0.6540176257128045,16815,1725,9796,5295,0.10258697591436218,0.5825750817722272,0.31489741302408564,15166,3478,6048.0,1701.0,1760.0,1386.0,793.0,0.22932876170381117,0.39878675985757617,0.1121587762099433,0.11604905710141106,0.0913886324673612,0.05228801265989714,640.0,10.2,0.102,"(41.6069681, -7.3104483)",41.6069681,-7.310448299999999
46,Vila Pouca de Aguiar,7870,137,685,33.0,303.0,3939.0,2553.0,220.0,PPD/PSD,0.5005082592121982,13154,1566,8098,3491,0.11905123916679337,0.6156302265470579,0.26539455678880947,11652,2074,4488.0,1351.0,1690.0,1237.0,812.0,0.17799519395811877,0.38516992790937177,0.11594576038448336,0.1450394782011672,0.10616203226913834,0.06968760727772057,648.7,8.8,0.08800000000000001,"(41.5002387, -7.6432318)",41.500238700000004,-7.6432318
47,Amarante,29074,945,1940,136.0,876.0,13341.0,11072.0,764.0,PPD/PSD,0.4588635894613744,56207,8908,38529,8770,0.15848559787926772,0.6854840144465992,0.1560303876741331,47227,6125,16181.0,6200.0,8652.0,6052.0,4017.0,0.12969276049717324,0.3426218053232261,0.13128083511550595,0.18320028797086413,0.12814703453532936,0.0850572765579012,722.0,11.1,0.111,"(41.26963569999999, -8.0826488)",41.2696357,-8.0826488
48,Baião,9722,166,686,36.0,256.0,4206.0,4087.0,285.0,PPD/PSD,0.43262703147500514,20478,3029,13618,3831,0.14791483543314776,0.6650063482761989,0.18707881629065337,17410,3429,6123.0,2568.0,2825.0,1716.0,749.0,0.19695577254451466,0.35169442848937393,0.14750143595634693,0.16226306720275704,0.09856404365307295,0.04302125215393452,658.1,13.4,0.134,"(41.16177150000001, -8.035514)",41.1617715,-8.035514
49,Castelo de Paiva,8454,305,671,36.0,201.0,3828.0,3243.0,170.0,PPD/PSD,0.4528034066713982,16699,2698,11442,2560,0.1615665608719085,0.6851907299838313,0.1533025929696389,14030,1466,4238.0,3361.0,2683.0,1553.0,729.0,0.1044903777619387,0.3020669992872416,0.23955808980755525,0.19123307198859588,0.11069137562366357,0.051960085531004986,648.3,12.5,0.125,"(41.0409444, -8.2714736)",41.040944399999994,-8.271473599999998
50,Celorico de Basto,10575,234,1332,43.0,261.0,5433.0,2911.0,361.0,PPD/PSD,0.513758865248227,20110,3074,13190,3847,0.15285927399303828,0.6558925907508703,0.19129786176031824,17037,2727,5673.0,2672.0,2951.0,2061.0,953.0,0.1600633914421553,0.33298115865469274,0.15683512355461643,0.1732112461114046,0.12097200211304807,0.05593707812408288,647.2,10.6,0.106,"(41.38694960000001, -8.002203399999999)",41.3869496,-8.002203399999999
51,Cinfães,9720,190,1087,39.0,256.0,3993.0,3897.0,258.0,PPD/PSD,0.4108024691358025,20359,3025,13167,4168,0.14858293629353111,0.6467409990667518,0.20472518296576453,17405,3155,6269.0,3222.0,2432.0,1600.0,727.0,0.18126975007181845,0.36018385521401897,0.18511921861534042,0.13972996265440965,0.09192760700948004,0.041769606434932494,619.8,12.3,0.12300000000000001,"(41.071713, -8.0898477)",41.071713,-8.0898477
52,Felgueiras,30110,1097,2379,155.0,1216.0,12470.0,11800.0,993.0,PPD/PSD,0.4141481235469944,58120,9866,41217,7037,0.16975223675154852,0.7091706813489332,0.12107708189951824,48098,5231,16485.0,8338.0,9147.0,6035.0,2862.0,0.10875712087820699,0.3427377437731299,0.17335440143041292,0.190174227618612,0.12547299264002662,0.05950351365961162,612.7,6.9,0.069,"(41.367707, -8.1951206)",41.367707,-8.1951206
53,Lousada,23367,695,1737,115.0,952.0,9845.0,9273.0,750.0,PPD/PSD,0.42132066589634953,47481,8741,33669,5071,0.18409469050778207,0.7091046945093827,0.10680061498283525,38572,4033,12660.0,7747.0,7844.0,4093.0,2195.0,0.10455771025614435,0.3282173597428186,0.20084517266410867,0.20335995022295966,0.10611324276677382,0.056906564347194856,603.9,8,0.08,"(41.2774793, -8.2837376)",41.277479299999996,-8.283737599999998
