,Municipality,Total,BE,NC,PAN,PCP-PEV,PPD/PSD.CDS-PP,PS,Others,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People_x,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Total_Number_People_y,Without_Education,Basic_First_Cycle,Basic_Second_Cycle,Basic_Third_Cycle,Secondary,Superior,Fraction_Without_Education,Fraction_Basic_First_Cycle,Fraction_Basic_Second_Cycle,Fraction_Basic_Third_Cycle,Fraction_Secondary,Fraction_Superior,Total_Average_income,Unemployment_%Rate,Unemployment_Rate,Coordinates,x,y
181,Mêda,2653,138,6,13,75,1483,842,96,PPD/PSD.CDS-PP,0.5589898228420656,4835,441,2700,1694,0.09120992761116856,0.5584281282316442,0.3503619441571872,4680,1017,1836.0,474.0,580.0,458.0,315.0,0.2173076923076923,0.3923076923076923,0.10128205128205128,0.12393162393162394,0.09786324786324786,0.0673076923076923,652.8,4.1,0.040999999999999995,"(40.9670544, -7.259595099999999)",40.9670544,-7.2595951
182,Pinhel,4752,294,13,28,189,2737,1308,183,PPD/PSD.CDS-PP,0.5759680134680135,9035,890,5198,2948,0.09850581073602656,0.5753182069728833,0.32628666297731046,8627,1642,3243.0,828.0,1351.0,992.0,571.0,0.19033267648081603,0.3759128318071172,0.09597774429117886,0.1566013677987713,0.11498782890923843,0.06618755071287817,658.1,5.5,0.055,"(40.778586, -7.135937699999999)",40.778586,-7.1359377
183,Sabugal,6091,507,17,20,215,3043,1935,354,PPD/PSD.CDS-PP,0.4995895583648005,11588,878,6206,4505,0.07576803589920608,0.5355540214014498,0.38876423886779427,11540,2783,4415.0,895.0,1605.0,1172.0,670.0,0.24116117850953206,0.38258232235701906,0.07755632582322357,0.13908145580589254,0.10155979202772963,0.05805892547660312,660.3,5.9,0.059000000000000004,"(40.3793416, -7.0498442)",40.379341600000004,-7.0498442
184,Seia,12368,859,17,107,684,5335,4877,489,PPD/PSD.CDS-PP,0.43135510996119014,23419,2391,14813,6216,0.10209658824031768,0.6325206029292455,0.26542550920193003,21941,3096,8118.0,2332.0,3539.0,2934.0,1922.0,0.1411056925390821,0.36999225194840707,0.10628503714507087,0.16129620345471948,0.13372225513878128,0.0875985597739392,683,7.1,0.071,"(40.4161238, -7.7088512)",40.416123799999994,-7.708851200000001
185,Trancoso,4814,317,9,20,139,2562,1595,172,PPD/PSD.CDS-PP,0.5321977565434151,9378,874,5659,2845,0.09319684367669012,0.6034335679249306,0.3033695883983792,8773,1620,3218.0,754.0,1429.0,1061.0,691.0,0.1846574717884418,0.3668072495155591,0.08594551464721303,0.16288612789239712,0.12093924541205973,0.07876439074432919,688.2,5,0.05,"(40.7787604, -7.3491442)",40.778760399999996,-7.3491442
186,Alcochete,8695,1116,38,147,1550,2397,2971,476,PS,0.3416906267970098,18733,3452,12259,3022,0.18427374152564993,0.6544066620402498,0.16131959643410024,14237,1090,2920.0,1501.0,2803.0,3098.0,2825.0,0.07656107325981597,0.20509938891620424,0.10542951464493924,0.19688136545620566,0.21760202289808245,0.1984266348247524,1599.5,6.9,0.069,"(38.7561726, -8.9598931)",38.7561726,-8.9598931
187,Almada,85804,10860,316,1866,14461,21943,31773,4585,PS,0.3702974220316069,169914,25686,106843,37385,0.15117059218192733,0.6288063373235873,0.22002307049448544,148447,11069,35248.0,16036.0,31068.0,29769.0,25257.0,0.07456533308184066,0.23744501404541687,0.10802508639447075,0.2092868161700809,0.20053621831360688,0.17014153199458393,887.7,7.9,0.079,"(38.6765238, -9.165104699999999)",38.6765238,-9.165104699999999
188,Amadora,81739,9763,257,1671,9500,24040,31728,4780,PS,0.38816232153561947,176298,26675,110856,38767,0.1513063109053988,0.6287989653881496,0.21989472370645158,149233,11752,37290.0,16934.0,30929.0,30067.0,22261.0,0.07874933828308753,0.2498777080136431,0.11347356147768925,0.20725308745384735,0.20147688513934586,0.14916941963238695,1107.4,8,0.08,"(38.7577603, -9.224547399999999)",38.757760299999994,-9.2245474
189,Barreiro,41950,5279,144,767,11062,6795,15448,2455,PS,0.36824791418355185,76604,11019,46827,18759,0.14384366351626546,0.6112866168868466,0.24488277374549633,67543,5249,18670.0,7477.0,14327.0,13179.0,8641.0,0.07771345661282442,0.276416505041233,0.1106998504656293,0.21211672564144324,0.19512014568497105,0.127933316553899,880.3,10,0.1,"(38.6608149, -9.0790724)",38.6608149,-9.0790724
190,Cascais,100054,10619,354,2220,7091,45213,29524,5033,PPD/PSD.CDS-PP,0.45188598156995224,209869,34321,135106,40442,0.1635353482410456,0.643763490558396,0.19270116120055844,173824,9767,30426.0,15484.0,34083.0,39880.0,44184.0,0.05618901877761414,0.17503912002945507,0.08907860824742268,0.19607764175257733,0.22942746686303386,0.2541881443298969,975.1,7.2,0.07200000000000001,"(38.6967571, -9.4207438)",38.6967571,-9.4207438
191,Lisboa,301791,29105,898,5947,24476,116578,108143,16644,PPD/PSD.CDS-PP,0.3862871987567555,506892,75578,289091,142224,0.14910079464659137,0.5703206994783899,0.2805804786818494,477239,32413,96850.0,38897.0,74655.0,86011.0,148413.0,0.06791775190208679,0.2029381504864439,0.08150423582314102,0.1564310544611819,0.1802262597985496,0.3109825475285968,1268.1,9.4,0.094,"(38.7222524, -9.1393366)",38.722252399999995,-9.1393366
192,Loures,99360,10811,336,1775,15776,28578,36598,5486,PS,0.3683373590982287,205283,32088,131557,41638,0.1563110437785886,0.6408567684611001,0.20283218776031137,172998,13596,43559.0,20600.0,35867.0,33119.0,26257.0,0.07859050393646169,0.25178903802356095,0.11907652111585106,0.20732609625544804,0.19144151955513936,0.1517763211135389,947.1,7.4,0.07400000000000001,"(38.831549, -9.1741095)",38.831549,-9.1741095
193,Mafra,36038,4284,164,789,2647,15435,10505,2214,PPD/PSD.CDS-PP,0.4282979077640269,81580,14977,53907,12697,0.18358666339789165,0.660786957587644,0.15563863692081392,62320,4889,14391.0,7953.0,12556.0,12607.0,9924.0,0.07844993581514763,0.23092105263157894,0.1276155327342747,0.20147625160462132,0.20229460847240052,0.1592426187419769,742.6,5.1,0.051,"(38.9443106, -9.3320856)",38.9443106,-9.3320856
194,Moita,32056,4459,98,653,9102,4995,10640,2109,PS,0.33191914150237084,65196,10288,42549,12360,0.15780109209153936,0.6526320633167679,0.18958218295600957,55480,5139,14878.0,7257.0,12827.0,10528.0,4851.0,0.09262797404470079,0.268168709444845,0.13080389329488104,0.23120043258832013,0.18976207642393655,0.08743691420331651,823.6,10.4,0.10400000000000001,"(38.6529133, -8.9900856)",38.652913299999994,-8.9900856
195,Montijo,21967,2969,82,409,3042,6313,7727,1425,PS,0.3517549050849001,54877,9332,36381,9164,0.17005302768008454,0.6629553364797638,0.16699163584015161,42716,4124,9825.0,5005.0,8654.0,8757.0,6351.0,0.09654462028279802,0.23000749133814027,0.11716921060024346,0.20259387583107033,0.20500515029497143,0.14867965165277647,799.4,8.2,0.08199999999999999,"(38.7054501, -8.976149399999999)",38.7054501,-8.9761494
196,Odivelas,71214,8548,257,1502,7261,23109,26435,4102,PS,0.3712051001207628,153651,24229,99887,29536,0.15768852789763815,0.650090139341755,0.19222784101632923,122637,8274,30273.0,14102.0,25506.0,25058.0,19424.0,0.06746740380146285,0.2468504611169549,0.11498976654680072,0.2079796472516451,0.20432658985461158,0.15838613142852484,755.1,6.9,0.069,"(38.795369, -9.185179999999999)",38.795369,-9.18518
197,Oeiras,90487,10010,297,2041,7154,36076,30183,4726,PPD/PSD.CDS-PP,0.39868710422491627,173149,27238,106687,39224,0.15730960040196593,0.6161571825422035,0.22653321705583052,145561,7196,23443.0,11384.0,26408.0,32440.0,44690.0,0.049436318794182504,0.1610527545152891,0.0782077616944099,0.18142222161155805,0.22286189295209569,0.30701905043246475,1447.2,6.1,0.061,"(38.6919934, -9.3118418)",38.6919934,-9.3118418
